Journée,J1
Résultats,"[['ASM', 'FCN', ' 1', ' Aug 06 2021 21:00:00'], ['OL', 'SB29', ' 1', ' Aug 07 2021 17:00:00'], ['ESTAC', 'PSG', ' 1', ' Aug 07 2021 21:00:00'], ['SR', 'RCL', ' 1', ' Aug 08 2021 13:00:00'], ['FCGB', 'CF63', ' 1', ' Aug 08 2021 15:00:00'], ['OGCN', 'SDR', ' 1', ' Aug 08 2021 15:00:00'], ['ASSE', 'FCL', ' 1', ' Aug 08 2021 15:00:00'], ['RCS', 'ASCO', ' 1', ' Aug 08 2021 15:00:00'], ['FCM', 'LOSC', ' 1', ' Aug 08 2021 17:00:00'], ['MHSC', 'OM', ' 1', ' Aug 08 2021 20:45:00']]"
Effondrix4,"['1', '1', '2', 'N', 'N', '1', 'N', 'N', '2', '2']"
Sijilmassa,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[Peace_Mathieu],"['1', 'N', '2', '2', 'N', 'N', '1', '1', '2', '2']"
LaszloPNJ,"['1', '1', '2', 'N', 'N', '1', 'N', '1', 'N', 'N']"
Lupette_51,"['1', '1', '2', 'N', '2', '1', 'N', '1', '2', 'N']"
Since1919,"['1', '1', '2', 'N', '1', 'N', '1', 'N', 'N', '2']"
geugnon4,"['1', '1', '2', 'N', 'N', '1', '1', '2', '1', 'N']"
Padawn,"['1', '1', '2', 'N', 'N', '1', '1', '1', 'N', '2']"
MagnumWhooper69,"['1', '1', '2', 'N', '1', '1', '2', 'N', '2', '1']"
BahlouliFares,"['1', 'N', '2', '2', '1', 'N', '1', 'N', '2', '1']"
Colonelite,"['1', '1', '2', 'N', 'N', '1', '2', 'N', '2', 'N']"
BlagueInc,"['N', '1', '2', 'N', '1', 'N', '2', '1', '2', 'N']"
Caleta_car,"['1', '1', '2', '1', '2', 'N', '1', '1', 'N', '2']"
TaMeufQuiChie2,"['1', '1', '2', '1', '1', '1', '2', 'N', '2', '2']"
JeromeLeroy,"['1', 'N', '2', '1', '2', '1', 'N', '1', '2', '2']"
Volcanion,"['2', '1', '2', '1', 'N', '1', '2', '1', '2', '2']"
sniper8495-2,"['1', '1', '2', 'N', '1', '1', '2', 'N', '2', 'N']"
DolphZiggler80,"['1', '1', '2', 'N', 'N', '1', 'N', '1', '2', 'N']"
menop89,"['1', '1', '2', 'N', '1', '1', '1', 'N', '2', '2']"
never_Over,"['1', '1', '2', 'N', 'N', '1', '2', '1', '2', 'N']"
St-Germain,"['1', '1', '2', 'N', '1', '1', '1', '1', '2', '2']"
